,Unnamed: 0.1,Unnamed: 0,newstitle,cleanedtext
0,0.0,0,"""title"":""대구 경찰, 예배 중 <b>미등록 이주민<\/b> 체포 논란 대책 마련 검토"",",대구경찰예배중<>미등록이주민<\/>체포논란대책마련검토
1,1.0,3,"""description"":""대구 경찰이 예배 중이던 <b>미등록 이주민<\/b> 9명을 체포해 출입국에 넘긴 사건의 여파가 이어지고 있다. 대구경찰청장은 당시 예배를 집회하던 필리핀 교회 목사를 찾아 유감을 표했고, 목회 도중에는 진입 하지 않고 이주민... "",",대구경찰이예배중이던<>미등록이주민<\/>명을체포해출입국에넘긴사건의여파가이어지고있다.대구경찰청장은당시예배를집회하던필리핀교회목사를찾아유감을표했고목회도중에는진입이주민
2,2.0,7,"""title"":""교회에서, 공연장에서···정부의 ‘토끼몰이식’ <b>미등록 이주민<\/b> 단속, 괜찮..."",",교회에서공연장에서···정부의‘토끼몰이식’<>미등록이주민<\/>단속괜찮
3,3.0,10,"""description"":""법무부는 지난달 25일 새벽 태국 가수 ‘암 추띠마’의 내한공연이 열린 인천의 한 클럽을 점거해 태국 출신 <b>미등록 이주민<\/b> 83명을 체포했다. 법무부는 암 추띠마가 한국 입국 사유에 ‘콘서트를 열기 위해서’ 라고 기재한... "",",법무부는지난달새벽태국가수‘암추띠마’의내한공연이열린인천의클럽을점거해태국출신<>미등록이주민<\/>명을체포했다.법무부는암추띠마가한국입국사유에‘콘서트를열기위해서’라고기재한
4,4.0,14,"""title"":""&quot;<b>미등록 이주민<\/b> 단속 중단해야…체류권 보장 필요&quot;"",",&;<>미등록이주민<\/>단속중단해야체류권보장필요&;
5,5.0,17,"""description"":""전국 이주인권단체는 30일 서울 용산구 전쟁기념관 앞에서 기자회견을 열어 <b>미등록 이주민<\/b>에 대한 정부의 합동단속을 중단하라고 촉구했다. 이주노동자평등연대 등 단체 100여곳은 공동 회견문에서 &quot;단속은 <b>미등록 이주민<\/b>... "",",전국이주인권단체는서울용산구전쟁기념관기자회견을열어<>미등록이주민<\/>에대한정부의합동단속을중단하라고촉구했다.이주노동자평등연대단체여곳은공동회견문에서&;단속은<>미등록이주민<\/>
6,6.0,21,"""title"":""서글픈 코리아 드림...이주노동자에겐 그림의 떡인 일상[외국인 노동자의 삶 ..."",",서글픈코리아드림이주노동자에겐그림의떡인일상외국인노동자의삶
7,7.0,24,"""description"":""이른바 &apos;불법 체류자&apos;로 불리는 <b>미등록 이주민<\/b>이기 때문이다. 기자는 4일 경기 남양주에 위치한 이주민 지원단체 &apos;샬롬의 집&apos;에서 외국인 이주 노동자 3명을 만날 수 있었다. 자한길 알럼씨를 통해 한국 초기 적응 생활을... "",",이른바&;불법체류자&;로불리는<>미등록이주민<\/>이기때문이다.기자는경기남양주에위치한이주민지원단체&;샬롬의집&;에서외국인이주노동자명을만날있었다.자한길알럼씨를통해한국초기적응생활을
8,8.0,28,"""title"":""대구경찰청장 &quot;예배 중 교회서 <b>미등록 이주민<\/b> 체포 유감···재발 방지&quot;"",",대구경찰청장&;예배중교회서<>미등록이주민<\/>체포유감···재발방지&;
9,9.0,31,"""description"":""경찰이 3월 12일 낮 예배 중이던 대구 달성군의 한 교회에 무단으로 들어가 <b>미등록 이주민<\/b> 9명을 체포한 것과 관련해 유감을 표명하고 재발 방지를 약속했습니다. 3월 31일 대구기독교총연합회를 찾은 김수영 대구경찰청은... "",",경찰이낮예배중이던대구달성군의교회에무단으로들어가<>미등록이주민<\/>명을체포한관련해유감을표명하고재발방지를약속했습니다.대구기독교총연합회를찾은김수영대구경찰청은
10,10.0,35,"""title"":""<b>미등록 이주민<\/b>에 대한 반인권적 정부 합동단속 규탄"",",<>미등록이주민<\/>에대한반인권적정부합동단속규탄
11,11.0,38,"""description"":""전국이주인권단체 회원들이 30일 오전 서울 용산구 대통령실 인근에서 <b>미등록 이주민<\/b>에 대한 정부의 반인권적 합동단속을 규탄하는 기자회견을 하고 있다. 2023.03.30. xconfind@newsis.com 공감언론 뉴시스가 독자... "",",전국이주인권단체회원들이오전서울용산구대통령실인근에서<>미등록이주민<\/>에대한정부의반인권적합동단속을규탄하는기자회견을있다..공감언론뉴시스가독자
12,12.0,42,"""title"":""&quot;불법인 사람은 없다&quot;…&apos;<b>미등록 이주민<\/b>&apos; 단속 규탄"",",&;불법인사람은없다&;&;<>미등록이주민<\/>&;단속규탄
